Date,UCSB CHIRPS Rainfall: avg, UCSB CHIRPS Rainfall: avg Percent of AOI with data
2010-2-11 00:00:00,0.340,71.02,
2010-2-12 00:00:00,2.979,71.02,
2010-2-13 00:00:00,5.863,71.02,
2010-2-14 00:00:00,4.781,71.02,
2010-2-15 00:00:00,6.884,71.02,
2010-2-16 00:00:00,5.664,71.02,
2010-2-17 00:00:00,3.732,71.02,
2010-2-18 00:00:00,0.473,71.02,
2010-2-19 00:00:00,6.136,71.02,
2010-2-20 00:00:00,24.029,71.02,
2010-2-21 00:00:00,12.505,71.02,
2010-2-22 00:00:00,26.853,71.02,
2010-2-23 00:00:00,15.239,71.02,
2010-2-24 00:00:00,6.156,71.02,
2010-2-25 00:00:00,26.248,71.02,
2010-2-26 00:00:00,8.791,71.02,
2010-2-27 00:00:00,4.849,71.02,
2010-2-28 00:00:00,2.904,71.02,
2010-2-29 00:00:00,14.637,71.02,
2010-2-30 00:00:00,24.343,71.02,
2010-2-31 00:00:00,16.120,71.02,
2010-3-1 00:00:00,10.712,71.02,
2010-3-2 00:00:00,6.673,71.02,
2010-3-3 00:00:00,16.439,71.02,
2010-3-4 00:00:00,3.584,71.02,
2010-3-5 00:00:00,1.675,71.02,
2010-3-6 00:00:00,1.682,71.02,
2010-3-7 00:00:00,3.692,71.02,
2010-3-8 00:00:00,3.830,71.02,
2010-3-9 00:00:00,13.554,71.02,
2010-3-10 00:00:00,5.191,71.02,
2010-3-11 00:00:00,3.320,71.02,
2010-3-12 00:00:00,3.558,71.02,
2010-3-13 00:00:00,7.037,71.02,
2010-3-14 00:00:00,6.982,71.02,
2010-3-15 00:00:00,13.846,71.02,
2010-3-16 00:00:00,8.132,71.02,
2010-3-17 00:00:00,8.467,71.02,
2010-3-18 00:00:00,13.934,71.02,
2010-3-19 00:00:00,17.270,71.02,
2010-3-20 00:00:00,8.525,71.02,
2010-3-21 00:00:00,13.219,71.02,
2010-3-22 00:00:00,8.329,71.02,
2010-3-23 00:00:00,13.668,71.02,
2010-3-24 00:00:00,4.295,71.02,
2010-3-25 00:00:00,15.761,71.02,
2010-3-26 00:00:00,16.447,71.02,
2010-3-27 00:00:00,9.471,71.02,
2010-3-28 00:00:00,5.771,71.02,
2010-3-29 00:00:00,10.045,71.02,
2010-3-30 00:00:00,9.552,71.02,
2010-4-1 00:00:00,15.258,71.02,
2010-4-2 00:00:00,1.450,71.02,
2010-4-3 00:00:00,2.459,71.02,
2010-4-4 00:00:00,3.352,71.02,
2010-4-5 00:00:00,3.955,71.02,
2010-4-6 00:00:00,6.866,71.02,
2010-4-7 00:00:00,8.468,71.02,
2010-4-8 00:00:00,5.717,71.02,
2010-4-9 00:00:00,10.756,71.02,
2010-4-10 00:00:00,8.459,71.02,
2010-4-11 00:00:00,11.401,71.02,
2010-4-12 00:00:00,17.373,71.02,
2010-4-13 00:00:00,10.988,71.02,
2010-4-14 00:00:00,20.625,71.02,
2010-4-15 00:00:00,1.411,71.02,
2010-4-16 00:00:00,8.913,71.02,
2010-4-17 00:00:00,1.960,71.02,
2010-4-18 00:00:00,5.422,71.02,
2010-4-19 00:00:00,0.533,71.02,
2010-4-20 00:00:00,3.105,71.02,
2010-4-21 00:00:00,14.617,71.02,
2010-4-22 00:00:00,3.394,71.02,
2010-4-23 00:00:00,0.249,71.02,
2010-4-24 00:00:00,1.585,71.02,
2010-4-25 00:00:00,5.147,71.02,
2010-4-26 00:00:00,3.627,71.02,
2010-4-27 00:00:00,2.618,71.02,
2010-4-28 00:00:00,5.021,71.02,
2010-4-29 00:00:00,13.222,71.02,
2010-4-30 00:00:00,7.254,71.02,
2010-4-31 00:00:00,2.458,71.02,
2010-5-1 00:00:00,6.652,71.02,
2010-5-2 00:00:00,1.940,71.02,
2010-5-3 00:00:00,15.546,71.02,
2010-5-4 00:00:00,20.498,71.02,
2010-5-5 00:00:00,12.452,71.02,
2010-5-6 00:00:00,9.263,71.02,
2010-5-7 00:00:00,16.005,71.02,
2010-5-8 00:00:00,11.194,71.02,
2010-5-9 00:00:00,9.372,71.02,
2010-5-10 00:00:00,5.732,71.02,
2010-5-11 00:00:00,5.778,71.02,
2010-5-12 00:00:00,2.525,71.02,
2010-5-13 00:00:00,1.214,71.02,
2010-5-14 00:00:00,6.441,71.02,
2010-5-15 00:00:00,1.296,71.02,
2010-5-16 00:00:00,5.366,71.02,
2010-5-17 00:00:00,0.014,71.02,
2010-5-18 00:00:00,0.784,71.02,
2010-5-19 00:00:00,1.163,71.02,
2010-5-20 00:00:00,1.723,71.02,
2010-5-21 00:00:00,15.952,71.02,
2010-5-22 00:00:00,6.202,71.02,
2010-5-23 00:00:00,4.601,71.02,
2010-5-24 00:00:00,6.387,71.02,
2010-5-25 00:00:00,7.020,71.02,
2010-5-26 00:00:00,6.284,71.02,
2010-5-27 00:00:00,10.665,71.02,
2010-5-28 00:00:00,4.713,71.02,
2010-5-29 00:00:00,7.723,71.02,
2010-5-30 00:00:00,5.633,71.02,
2010-6-1 00:00:00,8.115,71.02,
2010-6-2 00:00:00,9.622,71.02,
2010-6-3 00:00:00,4.653,71.02,
2010-6-4 00:00:00,0.146,71.02,
2010-6-5 00:00:00,0,71.02,
2010-6-6 00:00:00,0.416,71.02,
2010-6-7 00:00:00,8.174,71.02,
2010-6-8 00:00:00,1.054,71.02,
2010-6-9 00:00:00,1.802,71.02,
2010-6-10 00:00:00,4.285,71.02,
2010-6-11 00:00:00,5.393,71.02,
2010-6-12 00:00:00,5.598,71.02,
2010-6-13 00:00:00,5.092,71.02,
2010-6-14 00:00:00,4.850,71.02,
2010-6-15 00:00:00,14.409,71.02,
2010-6-16 00:00:00,9.661,71.02,
2010-6-17 00:00:00,6.273,71.02,
2010-6-18 00:00:00,8.655,71.02,
2010-6-19 00:00:00,0.548,71.02,
2010-6-20 00:00:00,7.532,71.02,
2010-6-21 00:00:00,1.236,71.02,
2010-6-22 00:00:00,4.659,71.02,
2010-6-23 00:00:00,2.468,71.02,
2010-6-24 00:00:00,2.839,71.02,
2010-6-25 00:00:00,19.882,71.02,
2010-6-26 00:00:00,7.392,71.02,
2010-6-27 00:00:00,8.421,71.02,
2010-6-28 00:00:00,1.778,71.02,
2010-6-29 00:00:00,4.807,71.02,
2010-6-30 00:00:00,4.665,71.02,
2010-6-31 00:00:00,9.732,71.02,
2010-7-1 00:00:00,2.739,71.02,
2010-7-2 00:00:00,3.903,71.02,
2010-7-3 00:00:00,2.136,71.02,
2010-7-4 00:00:00,1.881,71.02,
2010-7-5 00:00:00,0.995,71.02,
2010-7-6 00:00:00,13.242,71.02,
2010-7-7 00:00:00,12.499,71.02,
2010-7-8 00:00:00,12.451,71.02,
2010-7-9 00:00:00,3.669,71.02,
2010-7-10 00:00:00,4.950,71.02,
2010-7-11 00:00:00,21.404,71.02,
2010-7-12 00:00:00,8.135,71.02,
2010-7-13 00:00:00,36.890,71.02,
2010-7-14 00:00:00,8.671,71.02,
2010-7-15 00:00:00,3.085,71.02,
2010-7-16 00:00:00,10.828,71.02,
2010-7-17 00:00:00,9.386,71.02,
2010-7-18 00:00:00,9.732,71.02,
2010-7-19 00:00:00,9.067,71.02,
2010-7-20 00:00:00,6.525,71.02,
2010-7-21 00:00:00,2.288,71.02,
2010-7-22 00:00:00,3.898,71.02,
2010-7-23 00:00:00,9.028,71.02,
2010-7-24 00:00:00,1.877,71.02,
2010-7-25 00:00:00,1.389,71.02,
2010-7-26 00:00:00,2.832,71.02,
2010-7-27 00:00:00,6.586,71.02,
2010-7-28 00:00:00,5.846,71.02,
2010-7-29 00:00:00,11.067,71.02,
2010-7-30 00:00:00,8.387,71.02,
2010-7-31 00:00:00,4.480,71.02,
2010-8-1 00:00:00,4.987,71.02,
2010-8-2 00:00:00,7.285,71.02,
2010-8-3 00:00:00,8.338,71.02,
2010-8-4 00:00:00,18.246,71.02,
2010-8-5 00:00:00,2.303,71.02,
2010-8-6 00:00:00,9.462,71.02,
2010-8-7 00:00:00,2.455,71.02,
2010-8-8 00:00:00,5.822,71.02,
2010-8-9 00:00:00,5.951,71.02,
2010-8-10 00:00:00,6.670,71.02,
2010-8-11 00:00:00,1.204,71.02,
2010-8-12 00:00:00,9.571,71.02,
2010-8-13 00:00:00,3.589,71.02,
2010-8-14 00:00:00,5.449,71.02,
2010-8-15 00:00:00,8.192,71.02,
2010-8-16 00:00:00,8.334,71.02,
2010-8-17 00:00:00,9.438,71.02,
2010-8-18 00:00:00,9.231,71.02,
2010-8-19 00:00:00,7.404,71.02,
2010-8-20 00:00:00,19.298,71.02,
2010-8-21 00:00:00,11.340,71.02,
2010-8-22 00:00:00,14.808,71.02,
2010-8-23 00:00:00,16.136,71.02,
2010-8-24 00:00:00,11.179,71.02,
2010-8-25 00:00:00,8.221,71.02,
2010-8-26 00:00:00,9.759,71.02,
2010-8-27 00:00:00,18.361,71.02,
2010-8-28 00:00:00,8.369,71.02,
2010-8-29 00:00:00,22.710,71.02,
2010-8-30 00:00:00,15.402,71.02,
2010-9-1 00:00:00,19.999,71.02,
2010-9-2 00:00:00,32.415,71.02,
2010-9-3 00:00:00,26.154,71.02,
2010-9-4 00:00:00,11.160,71.02,
2010-9-5 00:00:00,13.020,71.02,
2010-9-6 00:00:00,2.435,71.02,
2010-9-7 00:00:00,1.502,71.02,
2010-9-8 00:00:00,2.002,71.02,
2010-9-9 00:00:00,0.875,71.02,
2010-9-10 00:00:00,0.814,71.02,
2010-9-11 00:00:00,2.034,71.02,
2010-9-12 00:00:00,18.401,71.02,
2010-9-13 00:00:00,13.019,71.02,
2010-9-14 00:00:00,4.267,71.02,
2010-9-15 00:00:00,0.787,71.02,
2010-9-16 00:00:00,3.027,71.02,
2010-9-17 00:00:00,5.355,71.02,
2010-9-18 00:00:00,5.388,71.02,
2010-9-19 00:00:00,1.465,71.02,
2010-9-20 00:00:00,6.211,71.02,
2010-9-21 00:00:00,7.347,71.02,
2010-9-22 00:00:00,9.739,71.02,
2010-9-23 00:00:00,16.496,71.02,
2010-9-24 00:00:00,8.115,71.02,
2010-9-25 00:00:00,11.811,71.02,
2010-9-26 00:00:00,15.317,71.02,
2010-9-27 00:00:00,5.786,71.02,
2010-9-28 00:00:00,7.062,71.02,
2010-9-29 00:00:00,22.947,71.02,
2010-9-30 00:00:00,11.243,71.02,
2010-9-31 00:00:00,19.256,71.02,
2010-10-1 00:00:00,12.263,71.02,
2010-10-2 00:00:00,2.618,71.02,
2010-10-3 00:00:00,0.804,71.02,
2010-10-4 00:00:00,4.178,71.02,
2010-10-5 00:00:00,7.124,71.02,
2010-10-6 00:00:00,21.349,71.02,
2010-10-7 00:00:00,7.744,71.02,
2010-10-8 00:00:00,12.590,71.02,
2010-10-9 00:00:00,8.394,71.02,
2010-10-10 00:00:00,5.475,71.02,
2010-10-11 00:00:00,23.254,71.02,
2010-10-12 00:00:00,16.404,71.02,
2010-10-13 00:00:00,6.248,71.02,
2010-10-14 00:00:00,22.799,71.02,
2010-10-15 00:00:00,20.398,71.02,
2010-10-16 00:00:00,12.196,71.02,
2010-10-17 00:00:00,9.028,71.02,
2010-10-18 00:00:00,11.409,71.02,
2010-10-19 00:00:00,20.449,71.02,
2010-10-20 00:00:00,11.895,71.02,
2010-10-21 00:00:00,9.318,71.02,
2010-10-22 00:00:00,12.232,71.02,
2010-10-23 00:00:00,10.384,71.02,
2010-10-24 00:00:00,11.563,71.02,
2010-10-25 00:00:00,13.075,71.02,
2010-10-26 00:00:00,12.837,71.02,
2010-10-27 00:00:00,7.975,71.02,
2010-10-28 00:00:00,19.913,71.02,
2010-10-29 00:00:00,23.382,71.02,
2010-10-30 00:00:00,19.763,71.02,
2010-11-1 00:00:00,14.368,71.02,
2010-11-2 00:00:00,4.613,71.02,
2010-11-3 00:00:00,3.672,71.02,
2010-11-4 00:00:00,14.355,71.02,
2010-11-5 00:00:00,4.647,71.02,
2010-11-6 00:00:00,4.441,71.02,
2010-11-7 00:00:00,7.741,71.02,
2010-11-8 00:00:00,11.278,71.02,
2010-11-9 00:00:00,11.039,71.02,
2010-11-10 00:00:00,5.948,71.02,
2010-11-11 00:00:00,8.077,71.02,
2010-11-12 00:00:00,4.490,71.02,
2010-11-13 00:00:00,8.422,71.02,
2010-11-14 00:00:00,2.069,71.02,
2010-11-15 00:00:00,10.221,71.02,
2010-11-16 00:00:00,10.842,71.02,
2010-11-17 00:00:00,14.571,71.02,
2010-11-18 00:00:00,11.359,71.02,
2010-11-19 00:00:00,16.445,71.02,
2010-11-20 00:00:00,21.126,71.02,
2010-11-21 00:00:00,5.874,71.02,
2010-11-22 00:00:00,16.939,71.02,
2010-11-23 00:00:00,6.347,71.02,
2010-11-24 00:00:00,12.991,71.02,
2010-11-25 00:00:00,5.911,71.02,
2010-11-26 00:00:00,10.467,71.02,
2010-11-27 00:00:00,3.673,71.02,
2010-11-28 00:00:00,8.608,71.02,
2010-11-29 00:00:00,12.546,71.02,
2010-11-30 00:00:00,10.155,71.02,
2010-11-31 00:00:00,7.492,71.02,
2011-0-1 00:00:00,9.310,71.02,
2011-0-2 00:00:00,7.252,71.02,
2011-0-3 00:00:00,9.976,71.02,
2011-0-4 00:00:00,7.755,71.02,
2011-0-5 00:00:00,12.596,71.02,
2011-0-6 00:00:00,8.248,71.02,
2011-0-7 00:00:00,12.044,71.02,
2011-0-8 00:00:00,11.965,71.02,
2011-0-9 00:00:00,18.060,71.02,
2011-0-10 00:00:00,20.812,71.02,
2011-0-11 00:00:00,1.820,71.02,
2011-0-12 00:00:00,6.706,71.02,
2011-0-13 00:00:00,5.267,71.02,
2011-0-14 00:00:00,3.658,71.02,
2011-0-15 00:00:00,8.109,71.02,
2011-0-16 00:00:00,22.707,71.02,
2011-0-17 00:00:00,3.108,71.02,
2011-0-18 00:00:00,0.062,71.02,
2011-0-19 00:00:00,0.019,71.02,
2011-0-20 00:00:00,1.517,71.02,
2011-0-21 00:00:00,0.922,71.02,
2011-0-22 00:00:00,1.536,71.02,
2011-0-23 00:00:00,16.929,71.02,
2011-0-24 00:00:00,4.303,71.02,
2011-0-25 00:00:00,11.558,71.02,
2011-0-26 00:00:00,10.025,71.02,
2011-0-27 00:00:00,18.634,71.02,
2011-0-28 00:00:00,12.188,71.02,
2011-0-29 00:00:00,11.543,71.02,
2011-0-30 00:00:00,16.992,71.02,
2011-0-31 00:00:00,8.811,71.02,
2011-1-1 00:00:00,2.157,71.02,
2011-1-2 00:00:00,14.952,71.02,
2011-1-3 00:00:00,10.460,71.02,
2011-1-4 00:00:00,2.097,71.02,
2011-1-5 00:00:00,5.957,71.02,
2011-1-6 00:00:00,3.247,71.02,
2011-1-7 00:00:00,3.005,71.02,
2011-1-8 00:00:00,1.371,71.02,
2011-1-9 00:00:00,0.824,71.02,
2011-1-10 00:00:00,0.125,71.02,
2011-1-11 00:00:00,0.079,71.02,
2011-1-12 00:00:00,7.816,71.02,
2011-1-13 00:00:00,6.336,71.02,
2011-1-14 00:00:00,8.713,71.02,
2011-1-15 00:00:00,4.055,71.02,
2011-1-16 00:00:00,3.171,71.02,
2011-1-17 00:00:00,0.665,71.02,
2011-1-18 00:00:00,7.557,71.02,
2011-1-19 00:00:00,1.589,71.02,
2011-1-20 00:00:00,4.176,71.02,
2011-1-21 00:00:00,2.381,71.02,
2011-1-22 00:00:00,5.458,71.02,
2011-1-23 00:00:00,10.390,71.02,
2011-1-24 00:00:00,6.761,71.02,
2011-1-25 00:00:00,5.007,71.02,
2011-1-26 00:00:00,6.085,71.02,
2011-1-27 00:00:00,12.297,71.02,
2011-1-28 00:00:00,6.646,71.02,
2011-2-1 00:00:00,6.344,71.02,
2011-2-2 00:00:00,7.816,71.02,
2011-2-3 00:00:00,8.886,71.02,
2011-2-4 00:00:00,7.111,71.02,
2011-2-5 00:00:00,6.841,71.02,
2011-2-6 00:00:00,6.972,71.02,
2011-2-7 00:00:00,11.629,71.02,
2011-2-8 00:00:00,9.707,71.02,
2011-2-9 00:00:00,12.739,71.02,
2011-2-10 00:00:00,12.762,71.02,
2011-2-11 00:00:00,6.342,71.02,
2011-2-12 00:00:00,4.515,71.02,
2011-2-13 00:00:00,5.256,71.02,
2011-2-14 00:00:00,17.995,71.02,
2011-2-15 00:00:00,11.068,71.02,
2011-2-16 00:00:00,10.711,71.02,
2011-2-17 00:00:00,4.578,71.02,
2011-2-18 00:00:00,10.424,71.02,
2011-2-19 00:00:00,8.738,71.02,
2011-2-20 00:00:00,9.174,71.02,
2011-2-21 00:00:00,27.062,71.02,
2011-2-22 00:00:00,9.496,71.02,
2011-2-23 00:00:00,13.628,71.02,
2011-2-24 00:00:00,13.910,71.02,
2011-2-25 00:00:00,11.731,71.02,
2011-2-26 00:00:00,3.208,71.02,
2011-2-27 00:00:00,6.128,71.02,
2011-2-28 00:00:00,23.333,71.02,
2011-2-29 00:00:00,25.031,71.02,
2011-2-30 00:00:00,8.445,71.02,
2011-2-31 00:00:00,18.719,71.02,
2011-3-1 00:00:00,12.034,71.02,
2011-3-2 00:00:00,5.572,71.02,
2011-3-3 00:00:00,6.469,71.02,
2011-3-4 00:00:00,3.321,71.02,
2011-3-5 00:00:00,14.564,71.02,
2011-3-6 00:00:00,9.113,71.02,
2011-3-7 00:00:00,4.666,71.02,
2011-3-8 00:00:00,8.905,71.02,
2011-3-9 00:00:00,1.592,71.02,
2011-3-10 00:00:00,13.749,71.02,
2011-3-11 00:00:00,10.572,71.02,
2011-3-12 00:00:00,6.137,71.02,
2011-3-13 00:00:00,5.127,71.02,
2011-3-14 00:00:00,4.852,71.02,
2011-3-15 00:00:00,8.967,71.02,
2011-3-16 00:00:00,4.505,71.02,
2011-3-17 00:00:00,8.260,71.02,
2011-3-18 00:00:00,7.703,71.02,
2011-3-19 00:00:00,5.992,71.02,
2011-3-20 00:00:00,13.254,71.02,
2011-3-21 00:00:00,2.925,71.02,
2011-3-22 00:00:00,5.507,71.02,
2011-3-23 00:00:00,11.631,71.02,
2011-3-24 00:00:00,7.889,71.02,
2011-3-25 00:00:00,11.421,71.02,
2011-3-26 00:00:00,12.671,71.02,
2011-3-27 00:00:00,18.107,71.02,
2011-3-28 00:00:00,13.701,71.02,
2011-3-29 00:00:00,26.384,71.02,
2011-3-30 00:00:00,20.269,71.02,
2011-4-1 00:00:00,5.005,71.02,
2011-4-2 00:00:00,4.996,71.02,
2011-4-3 00:00:00,3.576,71.02,
2011-4-4 00:00:00,3.924,71.02,
2011-4-5 00:00:00,0.470,71.02,
2011-4-6 00:00:00,2.217,71.02,
2011-4-7 00:00:00,0.249,71.02,
2011-4-8 00:00:00,0.260,71.02,
2011-4-9 00:00:00,0.761,71.02,
2011-4-10 00:00:00,1.113,71.02,
2011-4-11 00:00:00,3.046,71.02,
2011-4-12 00:00:00,12.095,71.02,
2011-4-13 00:00:00,6.079,71.02,
2011-4-14 00:00:00,3.054,71.02,
2011-4-15 00:00:00,8.661,71.02,
2011-4-16 00:00:00,8.794,71.02,
2011-4-17 00:00:00,8.912,71.02,
2011-4-18 00:00:00,10.336,71.02,
2011-4-19 00:00:00,1.978,71.02,
2011-4-20 00:00:00,4.053,71.02,
2011-4-21 00:00:00,8.643,71.02,
2011-4-22 00:00:00,14.568,71.02,
2011-4-23 00:00:00,6.899,71.02,
2011-4-24 00:00:00,22.893,71.02,
2011-4-25 00:00:00,23.064,71.02,
2011-4-26 00:00:00,13.181,71.02,
2011-4-27 00:00:00,15.638,71.02,
2011-4-28 00:00:00,1.779,71.02,
2011-4-29 00:00:00,5.084,71.02,
2011-4-30 00:00:00,2.680,71.02,
2011-4-31 00:00:00,16.552,71.02,
2011-5-1 00:00:00,9.603,71.02,
2011-5-2 00:00:00,5.057,71.02,
2011-5-3 00:00:00,2.910,71.02,
2011-5-4 00:00:00,6.625,71.02,
2011-5-5 00:00:00,7.327,71.02,
2011-5-6 00:00:00,0.369,71.02,
2011-5-7 00:00:00,2.545,71.02,
2011-5-8 00:00:00,3.200,71.02,
2011-5-9 00:00:00,3.546,71.02,
2011-5-10 00:00:00,6.301,71.02,
2011-5-11 00:00:00,2.332,71.02,
2011-5-12 00:00:00,3.467,71.02,
2011-5-13 00:00:00,0.869,71.02,
2011-5-14 00:00:00,1.967,71.02,
2011-5-15 00:00:00,5.981,71.02,
2011-5-16 00:00:00,3.036,71.02,
2011-5-17 00:00:00,3.528,71.02,
2011-5-18 00:00:00,3.242,71.02,
2011-5-19 00:00:00,4.484,71.02,
2011-5-20 00:00:00,6.060,71.02,
2011-5-21 00:00:00,7.478,71.02,
2011-5-22 00:00:00,6.046,71.02,
2011-5-23 00:00:00,2.677,71.02,
2011-5-24 00:00:00,1.868,71.02,
2011-5-25 00:00:00,6.704,71.02,
2011-5-26 00:00:00,9.739,71.02,
2011-5-27 00:00:00,4.115,71.02,
2011-5-28 00:00:00,3.647,71.02,
2011-5-29 00:00:00,4.238,71.02,
2011-5-30 00:00:00,7.135,71.02,
2011-6-1 00:00:00,3.318,71.02,
2011-6-2 00:00:00,4.644,71.02,
2011-6-3 00:00:00,1.571,71.02,
2011-6-4 00:00:00,1.095,71.02,
2011-6-5 00:00:00,0.092,71.02,
2011-6-6 00:00:00,0.561,71.02,
2011-6-7 00:00:00,3.054,71.02,
2011-6-8 00:00:00,1.714,71.02,
2011-6-9 00:00:00,3.691,71.02,
2011-6-10 00:00:00,0.994,71.02,
2011-6-11 00:00:00,26.000,71.02,
2011-6-12 00:00:00,4.218,71.02,
2011-6-13 00:00:00,4.521,71.02,
2011-6-14 00:00:00,8.411,71.02,
2011-6-15 00:00:00,15.471,71.02,
2011-6-16 00:00:00,5.129,71.02,
2011-6-17 00:00:00,1.696,71.02,
2011-6-18 00:00:00,0,71.02,
2011-6-19 00:00:00,1.267,71.02,
2011-6-20 00:00:00,1.054,71.02,
2011-6-21 00:00:00,4.730,71.02,
2011-6-22 00:00:00,4.800,71.02,
2011-6-23 00:00:00,2.437,71.02,
2011-6-24 00:00:00,13.133,71.02,
2011-6-25 00:00:00,0.145,71.02,
2011-6-26 00:00:00,3.957,71.02,
2011-6-27 00:00:00,5.053,71.02,
2011-6-28 00:00:00,10.480,71.02,
2011-6-29 00:00:00,6.237,71.02,
2011-6-30 00:00:00,7.835,71.02,
2011-6-31 00:00:00,3.405,71.02,
2011-7-1 00:00:00,3.880,71.02,
2011-7-2 00:00:00,1.097,71.02,
2011-7-3 00:00:00,14.145,71.02,
2011-7-4 00:00:00,15.108,71.02,
2011-7-5 00:00:00,0.467,71.02,
2011-7-6 00:00:00,6.905,71.02,
2011-7-7 00:00:00,9.082,71.02,
2011-7-8 00:00:00,4.726,71.02,
2011-7-9 00:00:00,6.698,71.02,
2011-7-10 00:00:00,17.726,71.02,
2011-7-11 00:00:00,3.659,71.02,
2011-7-12 00:00:00,8.111,71.02,
2011-7-13 00:00:00,21.794,71.02,
2011-7-14 00:00:00,14.122,71.02,
2011-7-15 00:00:00,10.807,71.02,
2011-7-16 00:00:00,10.148,71.02,
2011-7-17 00:00:00,4.273,71.02,
2011-7-18 00:00:00,2.535,71.02,
2011-7-19 00:00:00,16.731,71.02,
2011-7-20 00:00:00,11.069,71.02,
2011-7-21 00:00:00,4.046,71.02,
2011-7-22 00:00:00,18.011,71.02,
2011-7-23 00:00:00,4.716,71.02,
2011-7-24 00:00:00,11.665,71.02,
2011-7-25 00:00:00,9.327,71.02,
2011-7-26 00:00:00,9.245,71.02,
2011-7-27 00:00:00,3.328,71.02,
2011-7-28 00:00:00,11.034,71.02,
2011-7-29 00:00:00,7.782,71.02,
2011-7-30 00:00:00,5.012,71.02,
2011-7-31 00:00:00,5.017,71.02,
2011-8-1 00:00:00,3.885,71.02,
2011-8-2 00:00:00,11.911,71.02,
2011-8-3 00:00:00,1.802,71.02,
2011-8-4 00:00:00,8.143,71.02,
2011-8-5 00:00:00,3.505,71.02,
2011-8-6 00:00:00,4.592,71.02,
2011-8-7 00:00:00,12.996,71.02,
2011-8-8 00:00:00,2.754,71.02,
2011-8-9 00:00:00,19.021,71.02,
2011-8-10 00:00:00,18.946,71.02,
2011-8-11 00:00:00,5.505,71.02,
2011-8-12 00:00:00,1.214,71.02,
2011-8-13 00:00:00,7.144,71.02,
2011-8-14 00:00:00,9.997,71.02,
2011-8-15 00:00:00,1.076,71.02,
2011-8-16 00:00:00,12.242,71.02,
2011-8-17 00:00:00,9.608,71.02,
2011-8-18 00:00:00,8.734,71.02,
2011-8-19 00:00:00,7.423,71.02,
2011-8-20 00:00:00,3.465,71.02,
2011-8-21 00:00:00,10.044,71.02,
2011-8-22 00:00:00,2.638,71.02,
2011-8-23 00:00:00,0.628,71.02,
2011-8-24 00:00:00,6.197,71.02,
